Date,AET
2012-02-03,41.145433319228
2012-02-06,40.804964419624
2012-02-07,41.705108222686
2012-02-08,42.106208570164
2012-02-09,42.721850963968
2012-02-10,42.628571813392
2012-02-13,43.15093505662
2012-02-14,44.093054477441
2012-02-15,44.009103241922
2012-02-16,43.999775326864
2012-02-17,43.915824091346
2012-02-21,43.719937875135
2012-02-22,43.971791581691
2012-02-23,43.552035404098
2012-02-24,43.738593705251
2012-02-27,43.598674979386
2012-02-28,43.50539582881
2012-02-29,43.617330809501
2012-03-01,44.046414902153
2012-03-02,43.449428338464
2012-03-05,43.645314554674
2012-03-06,42.581932238104
2012-03-07,42.647227643507
2012-03-08,43.197574631908
2012-03-09,43.710609960078
2012-03-12,42.908409265121
2012-03-13,42.777818454314
2012-03-14,42.628571813392
2012-03-15,42.871097604891
2012-03-16,43.374805018003
2012-03-19,43.589347064328
2012-03-20,43.18824671685
2012-03-21,43.393460848118
2012-03-22,43.374805018003
2012-03-23,42.535292662816
2012-03-26,43.841200770885
2012-03-27,43.841200770885
2012-03-28,43.393460848118
2012-03-29,46.229147025639
2012-03-30,46.788821929097
2012-04-02,46.854117334501
2012-04-03,46.574279882772
2012-04-04,46.3037703461
2012-04-05,46.285114515985
2012-04-09,45.492241736086
2012-04-10,44.629409593255
2012-04-11,44.648133910265
2012-04-12,45.116241835514
2012-04-13,44.769841970829
2012-04-16,44.217474619035
2012-04-17,44.723031178305
2012-04-18,44.854101397374
2012-04-19,45.940111783952
2012-04-20,46.071182003022
2012-04-23,45.809041564883
2012-04-24,45.912025308437
2012-04-25,46.211614380597
2012-04-26,42.419940186079
2012-04-27,40.744113813687
2012-04-30,41.230946055946
2012-05-01,41.61479455465
2012-05-02,42.064178162889
2012-05-03,41.202859580431
2012-05-04,40.388351790497
2012-05-07,40.238557254418
2012-05-08,40.304092363952
2012-05-09,39.395962988969
2012-05-10,39.17127118485
2012-05-11,38.609541674551
2012-05-14,38.881044271195
2012-05-15,38.225693175846
2012-05-16,37.645239348537
2012-05-17,37.092871996743
2012-05-18,36.727747815049
2012-05-21,38.178882383321
2012-05-22,37.692050141062
2012-05-23,37.766947409102
2012-05-24,38.506557930996
2012-05-25,38.572093040531
2012-05-29,39.143184709335
2012-05-30,38.72188757661
2012-05-31,38.281866126876
2012-06-01,37.907379786677
2012-06-04,37.916741945182
2012-06-05,39.087011758305
2012-06-06,39.723638536644
2012-06-07,39.321065720929
2012-06-08,40.481973375547
2012-06-11,40.023227608803
2012-06-12,40.144935669368
2012-06-13,38.937217222225
2012-06-14,38.85295779568
2012-06-15,38.375487711926
2012-06-18,38.487833613986
2012-06-19,38.291228285381
2012-06-20,38.375487711926
2012-06-21,38.160158066311
2012-06-22,39.030838807275
2012-06-25,38.094622956776
2012-06-26,38.085260798271
2012-06-27,38.347401236411
2012-06-28,37.308201642358
2012-06-29,36.29708852382
2012-07-02,36.10984535372
2012-07-03,35.716634696511
2012-07-05,35.445132099866
2012-07-06,35.229802454252
2012-07-09,35.613650952956
2012-07-10,35.449813179119
2012-07-11,35.515652577435
2012-07-12,35.318134382486
2012-07-13,35.89187771067
2012-07-16,35.769604542369
2012-07-17,36.362159127215
2012-07-18,36.681950490465
2012-07-19,35.89187771067
2012-07-20,35.421596294126
2012-07-23,35.026559904229
2012-07-24,34.866664222604
2012-07-25,33.220679264698
2012-07-26,33.201868008036
2012-07-27,34.490439089368
2012-07-30,34.93250362092
2012-07-31,33.916695761184
2012-08-01,34.339949036074
2012-08-02,34.170647726118
2012-08-03,34.518655974361
2012-08-06,34.40578843439
2012-08-07,34.988937390905
2012-08-08,35.365162524141
2012-08-09,35.299323125825
2012-08-10,35.487435692442
2012-08-13,35.25229498417
2012-08-14,34.772607939295
2012-08-15,35.412190665795
2012-08-16,35.901283339001
2012-08-17,35.7790101707
2012-08-20,37.79181463351
2012-08-21,37.528457040245
2012-08-22,37.218071305326
2012-08-23,36.964119340392
2012-08-24,36.4185928972
2012-08-27,36.681950490465
2012-08-28,36.239885958913
2012-08-29,36.794818030436
2012-08-30,36.493837923847
2012-08-31,36.127018418943
2012-09-04,35.88247208234
2012-09-05,35.901283339001
2012-09-06,36.089395905619
2012-09-07,36.681950490465
2012-09-10,35.929500223994
